"UK Business Counts - Local units"
"ONS Crown Copyright Reserved [from Nomis on 12 May 2016]"
"Analysis   :","standard"
"Industry   :","Total"
"Employment Sizeband:","Total"
"Legal Status:","Total"
"Area","mnemonic","2010","2011","2012","2013","2014","2015"
"ualad09:Chorley","E07000118",4275,4165,4215,4150,4275,4665
"ualad09:Fylde","E07000119",3440,3385,3360,3340,3390,3580
"ualad09:Hyndburn","E07000120",2620,2545,2540,2460,2500,2650
"ualad09:Lancaster","E07000121",5120,5045,4960,4935,5085,5400
"ualad09:Pendle","E07000122",2975,2910,2975,2945,2980,3205
"ualad09:Preston","E07000123",5795,5585,5600,5535,5735,6145
"ualad09:Ribble Valley","E07000124",3270,3260,3230,3320,3400,3540
"ualad09:Rossendale","E07000125",2650,2615,2635,2560,2620,2785
"ualad09:South Ribble","E07000126",4130,4010,4010,4040,4130,4315
"ualad09:West Lancashire","E07000127",4500,4430,4485,4415,4535,4840
"ualad09:Wyre","E07000128",4360,4280,4240,4185,4320,4620
"ualad09:Knowsley","E08000011",3070,3040,3095,3060,3220,3695
"ualad09:Liverpool","E08000012",13565,13120,13345,13390,14215,15355
"ualad09:Sefton","E08000014",8310,7965,8055,8000,8375,8985
"ualad09:St. Helens","E08000013",4675,4605,4650,4650,4840,5305
"ualad09:Wirral","E08000015",8605,8570,8765,8755,9285,10065
"ualad09:East Riding of Yorkshire","E06000011",14110,13810,14090,14040,14355,15310
"ualad09:Kingston upon Hull, City of","E06000010",8635,7760,7640,7545,7720,8145
"ualad09:North East Lincolnshire","E06000012",5340,5090,5125,5055,5150,5560
"ualad09:North Lincolnshire","E06000013",6120,5890,5900,5895,6060,6475
"ualad09:York","E06000014",7980,7870,8010,8135,8105,8610
"ualad09:Craven","E07000163",3690,3660,3640,3675,3690,3850
"ualad09:Hambleton","E07000164",5555,5575,5590,5625,5685,5970
"ualad09:Harrogate","E07000165",9180,9155,9275,9345,9680,10135
"ualad09:Richmondshire","E07000166",2880,2880,2920,2925,2975,3110
"ualad09:Ryedale","E07000167",3720,3715,3700,3750,3810,3965
"ualad09:Scarborough","E07000168",4755,4670,4700,4665,4745,5030
"ualad09:Selby","E07000169",3640,3590,3660,3710,3770,4035
"ualad09:Barnsley","E08000016",6260,6175,6315,6280,6395,6955
"ualad09:Doncaster","E08000017",8500,8355,8380,8395,8670,10120
"ualad09:Rotherham","E08000018",7210,7070,7155,7195,7365,8080
"ualad09:Sheffield","E08000019",16495,16100,16325,16305,16840,18040
"ualad09:Bradford","E08000032",15180,14915,15285,15145,15675,17050
"ualad09:Calderdale","E08000033",7850,7850,7975,8005,8290,8895
"ualad09:Kirklees","E08000034",13970,13860,14205,14190,14650,15800
"ualad09:Leeds","E08000035",26775,26725,27405,27705,28795,32605
"ualad09:Wakefield","E08000036",9965,9750,9965,9945,10185,11055
"ualad09:Derby","E06000015",7665,7455,7780,7780,8160,8775
"ualad09:Leicester","E06000016",10320,10200,10580,10750,11440,12480
"ualad09:Nottingham","E06000018",9830,9570,9590,9580,9915,10725
"ualad09:Rutland","E06000017",1950,1910,1950,1905,1935,2060
"ualad09:Amber Valley","E07000032",4625,4530,4635,4575,4680,5010
"ualad09:Bolsover","E07000033",2210,2155,2170,2190,2290,2885
"ualad09:Chesterfield","E07000034",3665,3600,3600,3620,3710,3995
"ualad09:Derbyshire Dales","E07000035",4925,4880,4885,4920,4985,5140
"ualad09:Erewash","E07000036",3855,3740,3780,3725,3815,4150
"ualad09:High Peak","E07000037",3965,3930,4015,4015,4095,4320
"ualad09:North East Derbyshire","E07000038",3420,3325,3375,3320,3425,3620
"ualad09:South Derbyshire","E07000039",3470,3435,3450,3470,3545,3805
"ualad09:Blaby","E07000129",4020,3890,4095,3920,4205,4510
"ualad09:Charnwood","E07000130",6080,5975,6105,6180,6395,6855
"ualad09:Harborough","E07000131",4735,4745,4880,4930,5135,5475
"ualad09:Hinckley and Bosworth","E07000132",4350,4320,4375,4355,4500,4820
"ualad09:Melton","E07000133",2430,2475,2495,2530,2560,2755
"ualad09:North West Leicestershire","E07000134",4135,4075,4225,4265,4395,4645
"ualad09:Oadby and Wigston","E07000135",1770,1755,1840,1855,1920,2100
"ualad09:Boston","E07000136",2530,2480,2525,2510,2550,2635
"ualad09:East Lindsey","E07000137",6240,6150,6120,6050,6145,6445
"ualad09:Lincoln","E07000138",3370,3245,3250,3245,3410,3555
"ualad09:North Kesteven","E07000139",4220,4135,4525,4630,4995,4925
"ualad09:South Holland","E07000140",3715,3690,3700,3765,3995,4295
"ualad09:South Kesteven","E07000141",6145,6095,6095,6095,6195,6535
"ualad09:West Lindsey","E07000142",3785,3775,3735,3740,3850,4110
"ualad09:Corby","E07000150",1785,1770,1835,1855,1995,2305
"ualad09:Daventry","E07000151",4365,4265,4360,4395,4555,4815
"ualad09:East Northamptonshire","E07000152",3720,3655,3745,3735,3850,4105
"ualad09:Kettering","E07000153",3535,3490,3560,3620,3785,4150
"ualad09:Northampton","E07000154",8125,7895,8155,8315,8885,9960
"ualad09:South Northamptonshire","E07000155",4845,4860,5005,5055,5220,5520
"ualad09:Wellingborough","E07000156",3195,3115,3140,3195,3275,3515
"ualad09:Ashfield","E07000170",3320,3175,3180,3180,3205,3415
"ualad09:Bassetlaw","E07000171",4180,4135,4210,4170,4245,4565
"ualad09:Broxtowe","E07000172",3445,3305,3360,3350,3450,3715
"ualad09:Gedling","E07000173",3540,3480,3505,3470,3490,3765
"ualad09:Mansfield","E07000174",3160,3075,3085,3000,2995,3290
"ualad09:Newark and Sherwood","E07000175",5025,4955,4945,4990,5035,5325
"ualad09:Rushcliffe","E07000176",5035,4880,4785,4775,4885,5215
"ualad09:Herefordshire, County of","E06000019",10660,10625,10690,10770,10950,11315
"ualad09:Shropshire","E06000051",16280,16110,16195,16295,16545,17375
"ualad09:Stoke-on-Trent","E06000021",6950,6845,6930,6920,7035,7450
"ualad09:Telford and Wrekin","E06000020",5475,5280,5395,5410,5530,5890
"ualad09:Cannock Chase","E07000192",3635,3570,3615,3750,3755,3880
"ualad09:East Staffordshire","E07000193",4840,4765,4850,4900,5000,5295
"ualad09:Lichfield","E07000194",4770,4680,4780,4815,4945,5210
"ualad09:Newcastle-under-Lyme","E07000195",3790,3720,3740,3700,3790,4115
"ualad09:South Staffordshire","E07000196",4160,4140,4135,4205,4265,4510
"ualad09:Stafford","E07000197",5630,5585,5645,5600,5695,6005
"ualad09:Staffordshire Moorlands","E07000198",4215,4100,4175,4240,4265,4535
"ualad09:Tamworth","E07000199",2540,2475,2500,2485,2525,2645
"ualad09:North Warwickshire","E07000218",2985,2945,2960,2930,2965,3105
"ualad09:Nuneaton and Bedworth","E07000219",3700,3595,3700,3750,3860,4175
"ualad09:Rugby","E07000220",4345,4330,4430,4470,4730,5085
"ualad09:Stratford-on-Avon","E07000221",8140,7950,7995,8010,8255,8600
"ualad09:Warwick","E07000222",7545,7360,7450,7435,7805,8410
"ualad09:Birmingham","E08000025",32485,32870,32265,32750,34285,36720
"ualad09:Coventry","E08000026",9240,8960,9305,9365,9900,10775
"ualad09:Dudley","E08000027",10510,10260,10345,10335,10595,11020
"ualad09:Sandwell","E08000028",8465,8080,8375,8335,8655,9415
"ualad09:Solihull","E08000029",8135,8140,8305,8325,8535,9165
"ualad09:Walsall","E08000030",7590,7380,7595,7515,7725,8430
"ualad09:Wolverhampton","E08000031",8055,7730,7820,7920,8065,8190
"ualad09:Bromsgrove","E07000234",4595,4505,4640,4625,4740,4970
"ualad09:Malvern Hills","E07000235",4285,4280,4285,4265,4300,4520
"ualad09:Redditch","E07000236",3080,2955,2970,2930,2950,3110
"ualad09:Worcester","E07000237",3625,3510,3570,3545,3650,3780
"ualad09:Wychavon","E07000238",6485,6430,6515,6490,6590,6920
"ualad09:Wyre Forest","E07000239",3855,3750,3805,3715,3775,3935
"ualad09:Bedford","E06000055",6625,6490,6600,6675,6950,7425
"ualad09:Central Bedfordshire","E06000056",11565,11295,11545,11570,11960,12675
"ualad09:Luton","E06000032",5635,5555,5765,5855,6140,6825
"ualad09:Peterborough","E06000031",6520,6420,6455,6535,6775,7380
"ualad09:Southend-on-Sea","E06000033",6450,6300,6555,6600,6875,7445
"ualad09:Thurrock","E06000034",5005,4870,5275,5350,5680,6225
"ualad09:Cambridge","E07000008",5705,5660,5845,5885,6135,6400
"ualad09:East Cambridgeshire","E07000009",3955,3940,4020,4080,4150,4325
"ualad09:Fenland","E07000010",3730,3620,3675,3675,3730,3970
"ualad09:Huntingdonshire","E07000011",7755,7660,7770,7790,8095,8585
"ualad09:South Cambridgeshire","E07000012",7615,7510,7615,7725,8145,8590
"ualad09:Basildon","E07000066",6645,6590,6905,6915,7330,7725
"ualad09:Braintree","E07000067",6760,6615,6705,6660,6895,7305
"ualad09:Brentwood","E07000068",3780,3830,3980,4015,4245,4535
"ualad09:Castle Point","E07000069",3010,2950,3045,3005,3150,3350
"ualad09:Chelmsford","E07000070",7765,7690,7870,7910,8290,8715
"ualad09:Colchester","E07000071",7380,7230,7280,7245,7435,7905
"ualad09:Epping Forest","E07000072",6650,6615,6825,6870,7155,7590
"ualad09:Harlow","E07000073",2745,2730,2770,2815,2915,3140
"ualad09:Maldon","E07000074",3265,3185,3255,3280,3305,3485
"ualad09:Rochford","E07000075",3325,3200,3320,3340,3530,3695
"ualad09:Tendring","E07000076",4795,4680,4655,4580,4675,4935
"ualad09:Uttlesford","E07000077",5135,5015,5115,5130,5260,5560
"ualad09:Broxbourne","E07000095",3775,3685,3775,3765,4000,4270
"ualad09:Dacorum","E07000096",7375,7375,7525,7570,7865,8345
"ualad09:East Hertfordshire","E07000242",7660,7500,7655,7670,8005,8505
"ualad09:Hertsmere","E07000098",5345,5395,5730,5965,6345,6735
"ualad09:North Hertfordshire","E07000099",6445,6410,6470,6430,6640,7020
"ualad09:St Albans","E07000240",7520,7635,8030,8070,8495,9175
"ualad09:Stevenage","E07000243",2850,2950,2945,2995,3175,3405
"ualad09:Three Rivers","E07000102",4265,4310,4550,4595,4785,5125
"ualad09:Watford","E07000103",4165,4045,4215,4325,4635,5085
"ualad09:Welwyn Hatfield","E07000241",4610,4700,4840,4840,5035,5355
"ualad09:Breckland","E07000143",5405,5360,5380,5390,5480,5755
"ualad09:Broadland","E07000144",4900,4820,4820,4745,4835,5110
"ualad09:Great Yarmouth","E07000145",3450,3390,3410,3390,3485,3690
"ualad09:King`s Lynn and West Norfolk","E07000146",5970,5830,5855,5790,5915,6245
"ualad09:North Norfolk","E07000147",4745,4710,4695,4670,4735,4985
"ualad09:Norwich","E07000148",5530,5425,5350,5520,5725,6000
"ualad09:South Norfolk","E07000149",5540,5440,5545,5485,5670,5950
"ualad09:Babergh","E07000200",4335,4280,4325,4305,4360,4545
"ualad09:Forest Heath","E07000201",2610,2585,2625,2630,2690,2820
"ualad09:Ipswich","E07000202",4675,4595,4575,4545,4805,5010
"ualad09:Mid Suffolk","E07000203",5030,5015,5045,5025,5180,5345
"ualad09:St Edmundsbury","E07000204",4975,4940,4985,4995,5260,5410
"ualad09:Suffolk Coastal","E07000205",5850,5745,5785,5730,5940,6195
"ualad09:Waveney","E07000206",4280,4190,4155,4185,4400,4590
"ualad09:Camden","E09000007",24060,23990,25195,25495,26930,29100
"ualad09:City of London","E09000001",16030,16555,16795,17345,18205,19885
"ualad09:Hackney","E09000012",10450,10750,11815,12455,13890,15865
"ualad09:Hammersmith and Fulham","E09000013",11355,11350,12040,12360,12930,13845
"ualad09:Haringey","E09000014",8800,8890,9690,9830,10565,11795
"ualad09:Islington","E09000019",13715,13580,14495,15280,16815,18630
"ualad09:Kensington and Chelsea","E09000020",12745,12445,12885,13120,13600,14675
"ualad09:Lambeth","E09000022",10955,10935,11595,14795,16915,19215
"ualad09:Lewisham","E09000023",7410,7280,7940,8060,8825,9780
"ualad09:Newham","E09000025",6230,6560,7550,7880,8755,10200
"ualad09:Southwark","E09000028",13250,13815,14155,13835,14745,16250
"ualad09:Tower Hamlets","E09000030",11620,11770,12935,13590,14945,16650
"ualad09:Wandsworth","E09000032",14680,14590,15430,15580,16470,17770
"ualad09:Westminster","E09000033",46490,46385,48520,49415,50860,53760
"ualad09:Barking and Dagenham","E09000002",3935,4310,5230,5325,5815,6500
"ualad09:Barnet","E09000003",17570,17730,18920,19335,20740,22550
"ualad09:Bexley","E09000004",7070,6920,7320,7450,7975,8785
"ualad09:Brent","E09000005",11660,11635,12605,12655,13425,14500
"ualad09:Bromley","E09000006",12495,12415,13030,13320,14070,15205
"ualad09:Croydon","E09000008",12065,11995,12730,13010,13580,14815
"ualad09:Ealing","E09000009",13585,13370,14370,14665,15880,17550
"ualad09:Enfield","E09000010",9900,9905,10510,10745,11685,12880
"ualad09:Greenwich","E09000011",6785,6885,7600,7815,8515,9435
"ualad09:Harrow","E09000015",10275,10480,11145,11390,12115,13300
"ualad09:Havering","E09000016",7965,7750,8150,8305,8935,9825
"ualad09:Hillingdon","E09000017",10745,10805,11415,11725,12355,13520
"ualad09:Hounslow","E09000018",10220,10365,11405,11835,12465,13605
"ualad09:Kingston upon Thames","E09000021",7660,7625,8000,8035,8370,9005
"ualad09:Merton","E09000024",8590,8680,9240,9595,10380,11440
"ualad09:Redbridge","E09000026",8705,8865,9915,10285,11280,12710
"ualad09:Richmond upon Thames","E09000027",11735,11645,12135,12315,12705,13715
"ualad09:Sutton","E09000029",6895,6870,7255,7350,7725,8405
"ualad09:Waltham Forest","E09000031",6900,6905,7730,7915,8555,9970
"ualad09:Bracknell Forest","E06000036",4645,4635,4745,4735,4835,5130
"ualad09:Brighton and Hove","E06000043",12970,12970,13305,13540,14115,15210
"ualad09:Isle of Wight","E06000046",5590,5440,5440,5275,5335,5615
"ualad09:Medway","E06000035",7950,7730,8055,8060,8415,9025
"ualad09:Milton Keynes","E06000042",10915,10725,11150,11530,12055,13145
"ualad09:Portsmouth","E06000044",6445,6215,6290,6305,6525,6945
"ualad09:Reading","E06000038",6700,6725,7105,7215,7565,7985
"ualad09:Slough","E06000039",4685,4635,4955,5175,5480,5915
"ualad09:Southampton","E06000045",7160,6890,7075,7135,7395,7835
"ualad09:West Berkshire","E06000037",8955,8905,9080,9110,9345,9785
"ualad09:Windsor and Maidenhead","E06000040",8945,8915,9010,9160,9490,9995
"ualad09:Wokingham","E06000041",7465,7435,7700,7875,8215,8660
"ualad09:Aylesbury Vale","E07000004",9225,9170,9245,9300,9575,10125
"ualad09:Chiltern","E07000005",5720,5710,5835,5805,6020,6350
"ualad09:South Bucks","E07000006",4670,4740,4960,5000,5105,5400
"ualad09:Wycombe","E07000007",9380,9240,9455,9400,9615,10175
"ualad09:Eastbourne","E07000061",3415,3310,3345,3320,3385,3655
"ualad09:Hastings","E07000062",2900,2835,2925,2900,2955,3175
"ualad09:Lewes","E07000063",4395,4220,4285,4255,4435,4755
"ualad09:Rother","E07000064",4190,4085,4160,4165,4355,4590
"ualad09:Wealden","E07000065",8350,8240,8170,8160,8345,8860
"ualad09:Basingstoke and Deane","E07000084",7450,7595,7770,7790,8180,8545
"ualad09:East Hampshire","E07000085",6480,6425,6515,6480,6600,6815
"ualad09:Eastleigh","E07000086",5175,5170,5300,5295,5425,5855
"ualad09:Fareham","E07000087",4670,4515,4540,4510,4715,4930
"ualad09:Gosport","E07000088",2100,2010,2035,2035,2110,2245
"ualad09:Hart","E07000089",4740,4675,4840,4875,4990,5215
"ualad09:Havant","E07000090",4230,4075,4160,4160,4365,4630
"ualad09:New Forest","E07000091",8295,8170,8275,8315,8445,8905
"ualad09:Rushmoor","E07000092",3525,3500,3500,3520,3650,3855
"ualad09:Test Valley","E07000093",5895,5875,5925,5915,6090,6510
"ualad09:Winchester","E07000094",7005,6985,7155,7215,7530,8060
"ualad09:Ashford","E07000105",6010,5990,6025,6045,6175,6455
"ualad09:Canterbury","E07000106",5575,5535,5665,5635,5765,6155
"ualad09:Dartford","E07000107",3765,3685,3890,3990,4185,4505
"ualad09:Dover","E07000108",3595,3530,3620,3610,3700,3930
"ualad09:Gravesham","E07000109",3130,3085,3170,3260,3425,3720
"ualad09:Maidstone","E07000110",7390,7165,7315,7340,7485,7900
"ualad09:Sevenoaks","E07000111",6365,6355,6435,6525,6735,7040
"ualad09:Shepway","E07000112",3855,3765,3840,3815,3880,4115
"ualad09:Swale","E07000113",4760,4630,4730,4735,4945,5260
"ualad09:Thanet","E07000114",4035,3875,3930,3855,3935,4320
"ualad09:Tonbridge and Malling","E07000115",5510,5420,5565,5520,5650,6000
"ualad09:Tunbridge Wells","E07000116",6375,6255,6475,6460,6660,7030
"ualad09:Cherwell","E07000177",7195,7125,7245,7085,7240,7650
"ualad09:Oxford","E07000178",5770,5990,6145,5605,5760,6105
"ualad09:South Oxfordshire","E07000179",7985,8015,8175,8040,8250,8725
"ualad09:Vale of White Horse","E07000180",5940,5940,6025,5925,5990,6355
"ualad09:West Oxfordshire","E07000181",5900,5860,5835,5785,5945,6245
"ualad09:Elmbridge","E07000207",7825,7860,8175,8230,8620,9195
"ualad09:Epsom and Ewell","E07000208",3260,3255,3390,3425,3570,3855
"ualad09:Guildford","E07000209",7610,7540,7725,7815,8000,8405
"ualad09:Mole Valley","E07000210",5355,5405,5480,5550,5615,5860
"ualad09:Reigate and Banstead","E07000211",6600,6555,6795,6795,7020,7525
"ualad09:Runnymede","E07000212",4095,4055,4200,4265,4410,4600
"ualad09:Spelthorne","E07000213",4205,4165,4555,4760,5140,5570
"ualad09:Surrey Heath","E07000214",4685,4675,4910,4860,4990,5260
"ualad09:Tandridge","E07000215",4650,4665,4760,4785,4955,5210
"ualad09:Waverley","E07000216",7710,7700,7970,7960,8255,8725
"ualad09:Woking","E07000217",4710,4705,4920,4955,5125,5440
"ualad09:Adur","E07000223",2215,2170,2265,2270,2365,2500
"ualad09:Arun","E07000224",5470,5395,5515,5410,5450,5850
"ualad09:Chichester","E07000225",6720,6640,6735,6800,6880,7255
"ualad09:Crawley","E07000226",3740,3670,3740,3770,3885,4145
"ualad09:Horsham","E07000227",7110,7070,7115,7160,7455,7905
"ualad09:Mid Sussex","E07000228",7170,7055,7135,7120,7315,7790
"ualad09:Worthing","E07000229",3990,3905,3985,3980,4110,4385
"ualad09:Bath and North East Somerset","E06000022",8515,8465,8640,8565,8820,9280
"ualad09:Bournemouth","E06000028",6840,6760,6945,6880,7125,7560
"ualad09:Bristol, City of","E06000023",17350,17560,17900,18160,18965,20615
"ualad09:Cornwall","E06000052",25395,25400,25535,25490,25740,27275
"ualad09:Isles of Scilly","E06000053",245,240,245,235,240,260
"ualad09:North Somerset","E06000024",8325,8285,8515,8565,8960,9635
"ualad09:Plymouth","E06000026",6880,6780,6855,6905,7250,7440
"ualad09:Poole","E06000029",6295,6300,6440,6425,6655,6955
"ualad09:South Gloucestershire","E06000025",10060,10040,10295,10365,10800,11415
"ualad09:Swindon","E06000030",6955,6880,7150,7285,7665,8260
"ualad09:Torbay","E06000027",4590,4560,4550,4460,4495,4820
"ualad09:Wiltshire","E06000054",22505,22430,22915,23045,23695,24975
"ualad09:East Devon","E07000040",6525,6520,6590,6535,6650,7050
"ualad09:Exeter","E07000041",5050,4970,5050,5045,5150,5400
"ualad09:Mid Devon","E07000042",4555,4525,4575,4575,4650,4810
"ualad09:North Devon","E07000043",5305,5280,5295,5345,5355,5610
"ualad09:South Hams","E07000044",5230,5250,5265,5280,5360,5620
"ualad09:Teignbridge","E07000045",5870,5810,5820,5805,5930,6155
"ualad09:Torridge","E07000046",3695,3645,3695,3710,3745,3915
"ualad09:West Devon","E07000047",3355,3310,3320,3330,3375,3470
"ualad09:Christchurch","E07000048",1980,1985,2035,2025,2085,2220
"ualad09:East Dorset","E07000049",4630,4575,4565,4525,4640,4755
"ualad09:North Dorset","E07000050",3585,3535,3595,3595,3690,3885
"ualad09:Purbeck","E07000051",2220,2165,2225,2210,2275,2330
"ualad09:West Dorset","E07000052",5875,5820,5825,5850,6055,6320
"ualad09:Weymouth and Portland","E07000053",2125,2070,2065,2020,2080,2200
"ualad09:Cheltenham","E07000078",5525,5435,5545,5600,5735,6010
"ualad09:Cotswold","E07000079",5970,6035,6070,6090,6225,6505
"ualad09:Forest of Dean","E07000080",3970,3860,3915,3885,3905,4080
"ualad09:Gloucester","E07000081",4230,4215,4145,4080,4220,4520
"ualad09:Stroud","E07000082",5935,5810,5940,5990,6090,6415
"ualad09:Tewkesbury","E07000083",3920,3955,4015,3985,4140,4400
"ualad09:Mendip","E07000187",5905,5810,5920,5890,6030,6390
"ualad09:Sedgemoor","E07000188",5040,4990,5090,5130,5205,5435
"ualad09:South Somerset","E07000189",7790,7630,7625,7595,7780,8200
"ualad09:Taunton Deane","E07000190",5195,5135,5155,5170,5240,5525
"ualad09:West Somerset","E07000191",1995,1960,1930,1910,1955,2010
"ualad09:Anglesey","W06000001",2825,2825,2865,2825,2830,3055
"ualad09:Gwynedd","W06000002",6250,6200,6305,6225,6200,6550
"ualad09:Conwy","W06000003",4845,4780,4845,4825,4915,5265
"ualad09:Denbighshire","W06000004",4070,3990,4010,4015,4120,4365
"ualad09:Flintshire","W06000005",5400,5325,5430,5360,5470,5825
"ualad09:Wrexham","W06000006",4565,4525,4530,4505,4575,4810
"ualad09:Powys","W06000023",9585,9510,9550,9450,9430,9800
"ualad09:Ceredigion","W06000008",4580,4545,4525,4430,4425,4585
"ualad09:Pembrokeshire","W06000009",6365,6160,6145,6060,6160,6415
"ualad09:Carmarthenshire","W06000010",8640,8430,8485,8330,8450,8915
"ualad09:Swansea","W06000011",7310,7050,7140,7060,7255,7750
"ualad09:Neath Port Talbot","W06000012",3595,3485,3445,3360,3520,3795
"ualad09:Bridgend","W06000013",4200,4045,4075,4000,4090,4440
"ualad09:The Vale of Glamorgan","W06000014",4180,4125,4195,4205,4450,4795
"ualad09:Cardiff","W06000015",12030,11800,12100,12130,12750,13900
"ualad09:Rhondda, Cynon, Taff","W06000016",5825,5725,5765,5685,5895,6415
"ualad09:Merthyr Tydfil","W06000024",1390,1375,1410,1415,1490,1585
"ualad09:Caerphilly","W06000018",4175,4110,4195,4195,4390,4745
"ualad09:Blaenau Gwent","W06000019",1435,1415,1445,1445,1510,1640
"ualad09:Torfaen","W06000020",2380,2330,2350,2285,2330,2580
"ualad09:Monmouthshire","W06000021",4555,4490,4540,4475,4640,4900
"ualad09:Newport","W06000022",4610,4390,4325,4235,4315,4695
"ualad09:Aberdeen City","S12000033",9795,10030,10620,11020,11470,11910
"ualad09:Aberdeenshire","S12000034",13905,14130,14695,15005,15450,16045
"ualad09:Angus","S12000041",4350,4335,4430,4415,4485,4750
"ualad09:Argyll and Bute","S12000035",4665,4625,4735,4665,4685,4875
"ualad09:Clackmannanshire","S12000005",1305,1285,1310,1265,1315,1405
"ualad09:Dumfries and Galloway","S12000006",7525,7440,7440,7370,7445,7780
"ualad09:Dundee City","S12000042",4225,4160,4230,4260,4360,4645
"ualad09:East Ayrshire","S12000008",3805,3780,3865,3845,3855,3930
"ualad09:East Dunbartonshire","S12000045",2935,2905,3030,2980,3115,3355
"ualad09:East Lothian","S12000010",3035,3025,3150,3230,3300,3480
"ualad09:East Renfrewshire","S12000011",2495,2415,2545,2560,2680,2880
"ualad09:Edinburgh, City of","S12000036",19130,19095,19750,19985,20820,22145
"ualad09:Eilean Siar","S12000013",1350,1325,1365,1360,1390,1490
"ualad09:Falkirk","S12000014",4135,4115,4210,4245,4400,4685
"ualad09:Fife","S12000015",10605,10515,10780,10555,10720,11520
"ualad09:Glasgow City","S12000046",20355,20225,20895,20880,21630,22960
"ualad09:Highland","S12000017",12580,12470,12830,12830,13115,13590
"ualad09:Inverclyde","S12000018",1930,1910,1990,1970,1985,2120
"ualad09:Midlothian","S12000019",2355,2360,2415,2445,2505,2715
"ualad09:Moray","S12000020",3735,3720,3775,3780,3805,3980
"ualad09:North Ayrshire","S12000021",3940,3865,3950,3905,3990,4265
"ualad09:North Lanarkshire","S12000044",8995,8990,9045,9110,9330,9925
"ualad09:Orkney Islands","S12000023",1655,1630,1650,1625,1670,1725
"ualad09:Perth and Kinross","S12000024",6735,6620,6740,6710,6845,7230
"ualad09:Renfrewshire","S12000038",5235,5160,5240,5275,5410,5735
"ualad09:Scottish Borders","S12000026",5750,5675,5760,5670,5775,6035
"ualad09:Shetland Islands","S12000027",1610,1630,1675,1685,1720,1755
"ualad09:South Ayrshire","S12000028",4120,4095,4160,4125,4190,4425
"ualad09:South Lanarkshire","S12000029",9810,9685,9900,9950,10350,10865
"ualad09:Stirling","S12000030",4250,4275,4385,4345,4450,4695
"ualad09:West Dunbartonshire","S12000039",2075,2065,2135,2115,2180,2320
"ualad09:West Lothian","S12000040",4920,4885,5045,5110,5315,5620
"ualad09:Antrim","95AA",2455,2470,2435,2375,2375,2385
"ualad09:Ards","95BB",3095,3020,2995,2950,2900,2865
"ualad09:Armagh","95CC",3605,3570,3565,3560,3500,3540
"ualad09:Ballymena","95DD",3370,3375,3385,3345,3270,3270
"ualad09:Ballymoney","95EE",1635,1655,1620,1590,1545,1580
